time,side,price,amount,fee,usdt_after,btc_after
2025-07-18T02:20:00+08:00,sell,119729,0.000835,2.5e-07,2433.42,0.041223
2025-07-18T03:45:00+08:00,buy,119130,0.000839,2.5e-07,2333.39,0.042062
2025-07-18T04:05:00+08:00,buy,118534,0.000844,2.5e-07,2233.36,0.042906
2025-07-18T04:25:00+08:00,sell,119127,0.000839,2.5e-07,2333.33,0.042066
2025-07-18T05:05:00+08:00,sell,119997,0.000833,2.5e-07,2433.3,0.041232
2025-07-18T05:20:00+08:00,sell,120874,0.000827,2.5e-07,2533.27,0.040405
2025-07-18T06:50:00+08:00,buy,119529,0.000837,2.5e-07,2433.24,0.041241
2025-07-18T09:10:00+08:00,sell,120170,0.000832,2.5e-07,2533.21,0.040409
2025-07-18T14:00:00+08:00,sell,120771,0.000828,2.5e-07,2633.18,0.03958
2025-07-18T14:25:00+08:00,buy,120167,0.000832,2.5e-07,2533.15,0.040412
2025-07-18T15:50:00+08:00,buy,119566,0.000836,2.5e-07,2433.12,0.041248
2025-07-18T16:30:00+08:00,buy,118874,0.000841,2.5e-07,2333.09,0.042089
2025-07-18T20:40:00+08:00,sell,119468,0.000837,2.5e-07,2433.06,0.041252
2025-07-18T21:10:00+08:00,buy,118871,0.000841,2.5e-07,2333.03,0.042093
2025-07-18T22:20:00+08:00,buy,118003,0.000847,2.5e-07,2233.0,0.04294
2025-07-19T02:55:00+08:00,buy,117326,0.000852,2.6e-07,2132.97,0.043792
2025-07-19T06:25:00+08:00,sell,117913,0.000848,2.5e-07,2232.94,0.042944
2025-07-20T05:25:00+08:00,buy,117323,0.000852,2.6e-07,2132.91,0.043796
2025-07-20T07:10:00+08:00,sell,117910,0.000848,2.5e-07,2232.88,0.042948
2025-07-20T22:00:00+08:00,sell,118500,0.000844,2.5e-07,2332.85,0.042104
2025-07-21T04:00:00+08:00,buy,117908,0.000848,2.5e-07,2232.82,0.042952
2025-07-21T06:05:00+08:00,buy,117318,0.000852,2.6e-07,2132.79,0.043804
2025-07-21T06:15:00+08:00,buy,116731,0.000857,2.6e-07,2032.76,0.04466
2025-07-21T06:30:00+08:00,sell,117315,0.000852,2.6e-07,2132.73,0.043807
2025-07-21T08:15:00+08:00,buy,116728,0.000857,2.6e-07,2032.7,0.044664
2025-07-21T08:55:00+08:00,sell,117312,0.000852,2.6e-07,2132.67,0.043811
2025-07-21T10:10:00+08:00,sell,117899,0.000848,2.5e-07,2232.64,0.042963
2025-07-21T12:20:00+08:00,sell,118488,0.000844,2.5e-07,2332.61,0.042119
2025-07-21T14:30:00+08:00,sell,119080,0.00084,2.5e-07,2432.58,0.041278
2025-07-21T18:30:00+08:00,buy,118485,0.000844,2.5e-07,2332.55,0.042122
2025-07-21T20:00:00+08:00,buy,117893,0.000848,2.5e-07,2232.52,0.04297
2025-07-21T20:20:00+08:00,sell,118482,0.000844,2.5e-07,2332.49,0.042126
2025-07-21T22:45:00+08:00,sell,119173,0.000839,2.5e-07,2432.46,0.041287
2025-07-21T23:35:00+08:00,buy,118480,0.000844,2.5e-07,2332.43,0.04213
2025-07-22T00:15:00+08:00,buy,117813,0.000849,2.5e-07,2232.4,0.042979
2025-07-22T03:00:00+08:00,buy,117132,0.000854,2.6e-07,2132.37,0.043832
2025-07-22T09:15:00+08:00,buy,116546,0.000858,2.6e-07,2032.34,0.04469
2025-07-22T09:20:00+08:00,sell,117129,0.000854,2.6e-07,2132.31,0.043836
2025-07-22T09:40:00+08:00,sell,117715,0.00085,2.5e-07,2232.28,0.042986
2025-07-22T11:00:00+08:00,buy,117120,0.000854,2.6e-07,2132.25,0.04384
2025-07-22T15:00:00+08:00,sell,117706,0.00085,2.5e-07,2232.22,0.04299
2025-07-22T16:05:00+08:00,buy,117593,0.00085,2.6e-07,2132.19,0.04384
2025-07-22T16:50:00+08:00,sell,118291,0.000845,2.5e-07,2232.16,0.042995
2025-07-22T18:55:00+08:00,sell,118882,0.000841,2.5e-07,2332.13,0.042153
2025-07-22T21:40:00+08:00,sell,119476,0.000837,2.5e-07,2432.1,0.041316
2025-07-22T21:50:00+08:00,buy,118879,0.000841,2.5e-07,2332.07,0.042157
2025-07-22T21:55:00+08:00,buy,118285,0.000845,2.5e-07,2232.04,0.043002
2025-07-23T00:00:00+08:00,sell,118930,0.000841,2.5e-07,2332.01,0.042161
2025-07-23T02:50:00+08:00,sell,119619,0.000836,2.5e-07,2431.98,0.041325
2025-07-23T07:15:00+08:00,sell,120236,0.000832,2.5e-07,2531.95,0.040493
2025-07-23T08:25:00+08:00,buy,119635,0.000836,2.5e-07,2431.92,0.041328
2025-07-23T10:40:00+08:00,buy,119037,0.00084,2.5e-07,2331.89,0.042168
2025-07-23T14:20:00+08:00,buy,118442,0.000844,2.5e-07,2231.86,0.043012
2025-07-23T18:10:00+08:00,buy,117850,0.000849,2.5e-07,2131.83,0.043861
2025-07-23T19:05:00+08:00,sell,118439,0.000844,2.5e-07,2231.8,0.043016
2025-07-23T20:55:00+08:00,buy,117847,0.000849,2.5e-07,2131.77,0.043864
2025-07-23T23:55:00+08:00,sell,118702,0.000842,2.5e-07,2231.74,0.043022
2025-07-24T00:10:00+08:00,buy,118090,0.000847,2.5e-07,2131.71,0.043868
2025-07-24T07:00:00+08:00,sell,118680,0.000843,2.5e-07,2231.68,0.043025
2025-07-24T11:30:00+08:00,sell,119273,0.000838,2.5e-07,2331.65,0.042187
2025-07-24T11:50:00+08:00,buy,118677,0.000843,2.5e-07,2231.62,0.043029
2025-07-24T12:40:00+08:00,buy,118084,0.000847,2.5e-07,2131.59,0.043876
2025-07-24T14:40:00+08:00,buy,117494,0.000851,2.6e-07,2031.56,0.044726
2025-07-24T15:20:00+08:00,sell,118081,0.000847,2.5e-07,2131.53,0.043879
2025-07-24T17:00:00+08:00,sell,118671,0.000843,2.5e-07,2231.5,0.043036
2025-07-24T18:30:00+08:00,buy,118078,0.000847,2.5e-07,2131.47,0.043883
2025-07-24T19:10:00+08:00,sell,118692,0.000843,2.5e-07,2231.44,0.04304
2025-07-24T22:05:00+08:00,buy,118099,0.000847,2.5e-07,2131.41,0.043887
2025-07-24T22:35:00+08:00,sell,118689,0.000843,2.5e-07,2231.38,0.043044
2025-07-25T01:50:00+08:00,sell,119282,0.000838,2.5e-07,2331.35,0.042205
2025-07-25T05:10:00+08:00,buy,118686,0.000843,2.5e-07,2231.32,0.043048
2025-07-25T08:10:00+08:00,buy,118093,0.000847,2.5e-07,2131.29,0.043894
2025-07-25T09:15:00+08:00,buy,117503,0.000851,2.6e-07,2031.26,0.044745
2025-07-25T10:35:00+08:00,buy,116915,0.000855,2.6e-07,1931.23,0.0456
2025-07-25T11:00:00+08:00,buy,116213,0.00086,2.6e-07,1831.2,0.04646
2025-07-25T11:30:00+08:00,buy,115515,0.000866,2.6e-07,1731.17,0.047326
